1001 Teilenummer;;;;;;;
1002 Teilebezeichnung;Kolbenstange_V5;;Kolbenstange_V5;;Kolbenstange_V5;;
2002 Merkmalbezeichnung;Koaxalit�t;;Durchmesser nach Gewinde;;L�nge;;
2101 Nennma�;0,0000;;0,0000;;163,6000;;
2104 Toleranzwert;0;;0;;0;;
2110 Untere Spezifikationsgrenze;0,0000;;-0,0180;;163,4500;;
2111 Obere Spezifikationsgrenze;50,0000;;0,0180;;163,7500;;
Messwerte;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;
;206202;9,26;206202;-0,0035;206202;163,613;
;206104;33;206104;-0,007;206104;163,616;
;206103;41,7;206103;-0,008;206103;163,62;
;206102;64,4;206102;0,0065;206102;163,61;
;206701;62,8;206701;0,004;206701;163,479;
;206703;49,8;206703;-0,0035;206703;163,612;
;206801;24,1;206801;-0,005;206801;163,612;
;206803;20,6;206803;-0,0125;206803;163,613;
;206901;65;206901;-0,003;206901;163,619;
;206903;23,9;206903;-0,008;206903;163,626;
;207001;22,5;207001;0,002;207001;163,644;
;207003;46,5;207003;-0,0005;207003;163,62;
;207101;47,4;207101;-0,0105;207101;163,643;
;207103;64,3;207103;0,0005;207103;163,622;
;207004;22,8;207004;0,003;207004;163,62;
;207002;9,83;207002;-0,007;207002;163,653;
;206904;55,9;206904;-0,007;206904;163,692;
;206902;30,9;206902;-0,0045;206902;163,611;
;206804;25,1;206804;-0,001;206804;163,603;
;206802;6,54;206802;-0,005;206802;163,646;
;206704;13,2;206704;-0,01;206704;163,601;
;206702;14,3;206702;-0,0025;206702;163,622;
;206604;25,5;206604;-0,011;206604;163,623;
;206602;41,7;206602;0,002;206602;163,607;
;206603;67,6;206603;-0,0075;206603;163,608;
;205101;35,3;205101;0,001;205101;163,634;
;205103;30,7;205103;-0,0065;205103;163,702;
;205201;17,8;205201;0;205201;163,692;
;205203;22;205203;-0,0095;205203;163,668;
;205301;17,9;205301;0,0005;205301;163,657;
;205303;37;205303;-0,006;205303;163,651;
