part_id;coaxiality;diameter;length
207602;24.3;-0.002;163.673
207603;5.73;-0.0025;163.615
207701;38.2;0.0045;163.63
207702;35.7;-0.005;163.656
207703;32.7;-0.0055;163.614
207704;33.8;0.0015;163.623
207801;48.9;0.0005;163.608
207802;39.2;-0.003;163.617
207803;45.9;-0.008;163.615
207804;34.2;-0.005;163.621
207901;20.4;0.008;163.633
207902;24.9;0.0015;163.627
207903;29.6;-0.0015;163.633
207904;19.6;0.0005;163.615
208001;37.5;0.011;163.622
208003;36.9;0.008;163.61
208004;17.3;0.0105;163.674
208101;56.8;0.013;163.615
208103;36.7;-0.004;163.658
208201;45.4;-0.0025;163.617
208202;40.9;-0.006;163.676
208203;46.5;-0.0105;163.612
208204;23.4;0.002;163.624
208301;8.9;-0.004;163.563
208302;37.8;-0.003;163.614
208303;25.2;-0.005;163.63
208304;33.8;-0.005;163.671
208401;33.2;0.01;163.625
208402;16.9;-0.001;163.624
208403;41.8;0.002;163.642
208404;35.7;0.002;163.663
208501;5.53;0.009;163.731
208502;31.1;0;163.642
208503;17.3;0.003;163.638
208504;14.2;-0.001;163.686
208601;50;0.004;163.561
208602;32.8;-0.001;163.635
208603;91.3;0.003;163.634
208604;31.8;-0.003;163.63
208701;12.1;0.014;163.511
208702;15;0.004;163.648
208703;11.6;0.009;163.633
208704;32;0.003;163.632
208801;40.4;0.005;163.637
208802;30.7;-0.002;163.643
208803;61.7;0.002;163.624
208804;39.6;-0.001;163.64
208901;31.4;0.007;163.692
208902;15.9;0.002;163.637
208903;19.8;0.001;163.671
208904;41.9;0.002;163.671
209001;25;0.003;163.69
209002;37.1;0.003;163.643
209003;20.36;-0.001;163.703
209004;27.4;0.004;163.64
209101;44.6;0.005;163.64
209102;36.8;-0.001;163.709
209103;42.5;0;163.619
209104;50.1;0.005;163.636
209201;27.7;0.009;163.666
209202;44;0.004;163.682
209203;50.9;0;163.484
209204;23.2;-0.004;163.731
209301;38.9;0.01;163.643
209302;29.8;0.002;163.666
209303;21.8;0.002;163.712
209304;57;0.017;163.652
209401;30.4;0.006;163.655
209402;15.9;0.013;163.641
209403;5.13;-0.002;163.727
209404;39.1;0.014;163.629
209501;29;0.015;163.729
209502;59.4;0.007;163.662
209503;26.7;-0.004;163.675
209504;24.6;0.008;163.686
209601;32.1;-0.007;163.702
209602;41.1;-0.004;163.659
209603;24.5;-0.011;163.703
209604;19.9;0.006;163.716
209701;25.5;0.012;163.653
209702;33.9;0.011;163.651
209703;45.6;0.015;163.676
209704;43.2;0.012;163.681
209801;60.7;-0.007;163.733
209802;35.1;-0.011;163.586
209803;44.6;0.005;163.63
209804;19.9;-0.01;163.584
209901;24.6;0.01;163.627
209902;35.7;-0.005;163.654
209903;15.9;0.006;163.641
209904;27;-0.002;163.582
210001;21.9;0.011;163.702
210002;28.3;0.005;163.7
210003;30.4;0.008;163.635
210004;55.3;0.01;163.636
210101;42.8;0.008;163.646
210102;31.2;0.009;163.659
210103;53.7;0.009;163.665
210104;21.7;0.006;163.691
210201;10.1;0.006;163.672
210202;29.8;0.003;163.637
210203;30.2;0.007;163.648
210204;36.2;0.002;163.65
210301;42.5;0.005;163.665
210302;32;-0.003;163.614
210303;36;-0.002;163.598
210304;33.7;-0.002;163.611
210401;14;0.001;163.595
210402;42.9;-0.002;163.614
210403;42.4;0;163.587
210404;24.3;-0.002;163.613
210501;40.3;0.006;163.592
210502;22.6;0;163.631
210503;29;0.003;163.606
210504;35.9;0.002;163.617
210601;67.4;0.008;163.607
210602;36.4;0;163.668
210603;42.8;-0.002;163.614
210604;36.8;0.001;163.625
210701;24.6;0.005;163.611
210702;44.2;-0.001;163.61
210703;30.9;0.002;163.616
210704;49.4;-0.002;163.611
210801;44.1;0.011;163.61
210802;12.9;0.003;163.612
210803;32.9;0.002;163.705
210804;43.7;0.003;163.638
210901;31.9;0.005;163.647
210902;9.64;0.009;163.632
210903;21.7;0.006;163.645
210904;46.4;0.007;163.677
211001;54.9;0.013;163.698
211002;40;0.008;163.622
211003;32.2;0.007;163.644
211004;33.7;0.006;163.623
211101;96.7;-0.007;163.713
211102;44.2;-0.015;163.6
211103;48.1;-0.007;163.629
211104;48.6;-0.005;163.685
211201;17.1;0.004;163.643
211202;23;-0.001;163.732
211203;31.1;0.007;163.644
211204;11.1;0.005;163.685
211301;17.4;0.008;163.631
211302;40.1;-0.003;163.7
211303;24.3;0.003;163.607
211304;32.2;0.005;163.604
211401;18.5;-0.007;163.609
211402;27.4;-0.006;163.652
211403;52.4;-0.009;163.607
211404;20.2;-0.005;163.612
211501;38.6;0.014;163.602
211502;38.3;0.01;163.631
211503;39.1;0.019;163.611
211504;37.4;0.009;163.604
